value,time
5.04,490
4.65,491
3.63,492
3.93,493
4.06,494
5.02,495
2.98,496
2.88,497
3.48,498
5.37,499
4.59,500
3.63,501
3.4,502
2.84,503
3.91,504
3.13,505
2.4,506
3.94,507
4.91,508
5.96,509
3.36,510
2.75,511
3.62,512
4.0,513
3.48,514
2.85,515
3.93,516
3.32,517
1.51,518
1.52,519
1.06,520
1.68,521
2.62,522
1.9,523
1.7,524
1.94,525
2.58,526
2.7,527
1.56,528
1.18,529
2.27,530
3.56,531
3.38,532
2.34,533
2.25,534
1.88,535
2.35,536
4.14,537
4.7,538
4.65,539
3.2,540
3.08,541
4.03,542
4.5,543
5.65,544
5.54,545
5.64,546
3.95,547
2.58,548
2.81,549
2.36,550
4.16,551
4.73,552
5.97,553
5.0,554
4.48,555
3.66,556
5.29,557
6.63,558
7.68,559
8.78,560
8.56,561
8.85,562
9.47,563
9.19,564
8.78,565
7.63,566
8.49,567
9.19,568
9.79,569
8.64,570
8.13,571
9.03,572
9.36,573
10.55,574
8.9,575
9.44,576
8.79,577
8.08,578
8.76,579
9.22,580
8.65,581
8.64,582
9.62,583
9.55,584
9.42,585
8.31,586
8.09,587
8.69,588
9.34,589
11.29,590
11.29,591
10.49,592
10.72,593
12.14,594
12.77,595
13.84,596
12.56,597
14.05,598
15.13,599
13.84,600
13.18,601
13.39,602
12.42,603
13.23,604
12.84,605
14.41,606
14.97,607
14.05,608
15.32,609
15.56,610
14.27,611
14.18,612
14.55,613
14.46,614
13.64,615
11.95,616
13.11,617
13.35,618
14.21,619
14.26,620
12.52,621
12.99,622
12.72,623
11.21,624
11.02,625
12.33,626
12.04,627
14.04,628
13.43,629
13.05,630
12.72,631
13.58,632
14.49,633
13.96,634
13.53,635
13.31,636
14.41,637
15.11,638
14.35,639
14.12,640
13.43,641
11.76,642
10.66,643
12.18,644
11.6,645
12.18,646
11.59,647
10.96,648
10.35,649
11.0,650
10.37,651
9.9,652
10.09,653
10.73,654
9.55,655
6.91,656
5.23,657
6.29,658
6.51,659
5.89,660
6.46,661
5.9,662
7.12,663
7.98,664
7.8,665
7.23,666
8.47,667
8.9,668
10.16,669
11.39,670
12.16,671
13.04,672
11.88,673
12.36,674
12.56,675
13.39,676
12.81,677
12.55,678
14.63,679
14.92,680
14.43,681
13.48,682
14.51,683
13.71,684
14.63,685
13.74,686
12.12,687
12.42,688
12.97,689
14.08,690
13.34,691
14.33,692
13.62,693
12.65,694
13.58,695
14.68,696
15.97,697
16.54,698
15.78,699
13.62,700
12.55,701
13.28,702
13.59,703
13.04,704
13.97,705
14.88,706
15.84,707
15.78,708
16.41,709
15.81,710
15.18,711
15.97,712
18.8,713
19.86,714
19.43,715
19.62,716
21.36,717
22.16,718
21.71,719
20.44,720
20.06,721
19.54,722
20.39,723
19.64,724
19.05,725
19.19,726
19.71,727
20.08,728
19.39,729
19.88,730
20.41,731
19.69,732
19.04,733
19.65,734
20.06,735
21.18,736
19.37,737
20.21,738
20.41,739
21.1,740
20.61,741
19.85,742
21.16,743
21.71,744
22.83,745
23.25,746
21.73,747
23.04,748
23.98,749
24.53,750
24.73,751
25.22,752
24.9,753
23.72,754
24.76,755
24.16,756
23.28,757
23.38,758
24.07,759
24.77,760
23.25,761
24.54,762
24.9,763
24.07,764
23.06,765
24.32,766
23.36,767
23.47,768
24.1,769
24.01,770
23.6,771
24.13,772
23.57,773
22.81,774
25.01,775
26.96,776
26.68,777
27.0,778
27.28,779
28.94,780
29.12,781
29.08,782
29.54,783
28.88,784
28.42,785
27.11,786
28.0,787
28.04,788
28.73,789
27.49,790
26.73,791
24.48,792
22.23,793
22.49,794
23.06,795
20.71,796
19.91,797
19.93,798
20.3,799
19.78,800
19.37,801
19.44,802
20.16,803
19.22,804
19.25,805
18.78,806
18.73,807
19.58,808
20.33,809
19.87,810
18.34,811
18.92,812
18.04,813
17.99,814
18.05,815
17.27,816
18.48,817
18.23,818
18.84,819
19.52,820
18.98,821
18.5,822
19.08,823
19.52,824
19.33,825
20.77,826
19.39,827
19.02,828
18.4,829
20.39,830
20.06,831
18.98,832
18.07,833
16.57,834
16.72,835
16.95,836
16.32,837
15.98,838
14.78,839
14.4,840
17.0,841
17.5,842
17.37,843
17.2,844
17.37,845
18.25,846
17.7,847
18.28,848
17.87,849
15.93,850
16.83,851
17.1,852
17.3,853
16.87,854
15.41,855
16.78,856
14.87,857
14.3,858
14.91,859
14.56,860
13.76,861
13.94,862
14.93,863
14.98,864
16.19,865
14.97,866
14.95,867
16.48,868
14.43,869
16.12,870
16.53,871
16.7,872
16.73,873
16.71,874
15.21,875
17.64,876
16.84,877
16.11,878
17.93,879
16.36,880
17.97,881
18.71,882
17.38,883
15.91,884
16.39,885
16.25,886
16.1,887
16.69,888
16.47,889
17.09,890
17.06,891
15.64,892
16.65,893
17.88,894
16.85,895
19.16,896
18.51,897
17.19,898
16.61,899
17.15,900
16.7,901
17.75,902
17.09,903
15.68,904
15.97,905
14.63,906
15.06,907
15.24,908
14.9,909
15.1,910
17.44,911
17.2,912
17.98,913
19.31,914
18.59,915
18.54,916
19.07,917
17.76,918
16.71,919
16.18,920
14.89,921
14.45,922
13.75,923
14.4,924
15.15,925
14.07,926
14.08,927
14.49,928
14.02,929
13.74,930
11.77,931
10.24,932
10.37,933
9.63,934
11.28,935
9.09,936
8.28,937
9.0,938
7.83,939
5.89,940
7.15,941
6.18,942
5.79,943
7.62,944
7.9,945
7.38,946
7.06,947
8.2,948
8.06,949
8.22,950
7.93,951
8.29,952
8.23,953
8.4,954
8.54,955
8.7,956
7.85,957
8.15,958
8.36,959
7.03,960
6.89,961
7.02,962
7.23,963
6.85,964
7.64,965
8.69,966
9.27,967
9.45,968
8.7,969
8.71,970
7.68,971
8.03,972
7.91,973
5.97,974
6.98,975
8.26,976
8.08,977
7.95,978
70.96,979
5.12,980
5.05,981
4.71,982
5.8,983
5.58,984
6.93,985
-25.4,986
5.95,987
5.99,988
7.69,989
7.89,990
7.56,991
7.51,992
8.48,993
7.91,994
9.9,995
10.6,996
8.84,997
10.06,998
9.46,999
8.44,1000
8.75,1001
8.65,1002
8.43,1003
8.77,1004
7.09,1005
6.45,1006
7.48,1007
7.86,1008
5.98,1009
7.36,1010
8.33,1011
9.55,1012
9.69,1013
12.38,1014
12.12,1015
12.35,1016
12.63,1017
12.13,1018
10.92,1019
11.95,1020
13.99,1021
13.74,1022
13.02,1023
13.25,1024
12.52,1025
12.15,1026
9.98,1027
10.54,1028
10.49,1029
10.45,1030
8.73,1031
8.6,1032
7.97,1033
7.74,1034
7.45,1035
6.79,1036
7.26,1037
5.78,1038
4.51,1039
0.93,1040
1.2,1041
1.25,1042
1.23,1043
0.62,1044
0.8,1045
1.52,1046
0.86,1047
1.1,1048
1.32,1049
0.03,1050
0.26,1051
1.37,1052
0.91,1053
-0.07,1054
1.57,1055
1.9,1056
1.76,1057
1.74,1058
2.36,1059
2.32,1060
2.81,1061
2.44,1062
2.31,1063
3.35,1064
2.48,1065
2.32,1066
2.73,1067
2.98,1068
1.97,1069
1.81,1070
2.27,1071
3.36,1072
4.8,1073
4.46,1074
5.75,1075
6.3,1076
6.69,1077
8.25,1078
7.08,1079
6.2,1080
6.37,1081
5.74,1082
5.23,1083
5.32,1084
4.32,1085
2.98,1086
3.3,1087
4.5,1088
3.53,1089
4.52,1090
4.2,1091
4.62,1092
5.79,1093
6.77,1094
5.92,1095
5.57,1096
5.09,1097
4.32,1098
1.35,1099
1.4,1100
2.97,1101
3.05,1102
2.31,1103
0.43,1104
0.42,1105
-0.33,1106
0.77,1107
2.4,1108
3.55,1109
3.09,1110
2.79,1111
4.3,1112
3.74,1113
4.49,1114
5.63,1115
5.85,1116
6.32,1117
-37.12,1118
7.08,1119
5.42,1120
5.83,1121
6.37,1122
5.34,1123
5.01,1124
4.8,1125
6.97,1126
7.67,1127
7.64,1128
9.25,1129
7.68,1130
6.67,1131
6.89,1132
5.73,1133
5.93,1134
5.41,1135
6.13,1136
5.25,1137
5.34,1138
4.01,1139
2.61,1140
0.6,1141
1.16,1142
0.04,1143
0.89,1144
3.25,1145
2.46,1146
0.62,1147
1.04,1148
1.33,1149
2.34,1150
4.38,1151
4.86,1152
5.18,1153
5.27,1154
5.72,1155
5.64,1156
4.91,1157
5.87,1158
4.75,1159
4.8,1160
3.06,1161
2.98,1162
4.11,1163
4.44,1164
6.3,1165
5.78,1166
5.61,1167
5.27,1168
5.47,1169
4.66,1170
4.22,1171
6.46,1172
5.53,1173
4.9,1174
3.73,1175
2.29,1176
1.93,1177
1.79,1178
1.13,1179
1.95,1180
1.58,1181
2.49,1182
1.9,1183
1.53,1184
3.04,1185
3.98,1186
3.88,1187
3.7,1188
3.25,1189
1.87,1190
1.74,1191
1.26,1192
1.91,1193
2.19,1194
3.36,1195
2.88,1196
3.78,1197
5.5,1198
5.27,1199
7.26,1200
6.81,1201
6.16,1202
5.23,1203
4.42,1204
6.64,1205
5.72,1206
6.01,1207
7.13,1208
7.22,1209
6.83,1210
7.29,1211
8.33,1212
8.5,1213
9.65,1214
9.1,1215
8.54,1216
8.66,1217
8.27,1218
6.18,1219
5.01,1220
4.07,1221
4.66,1222
4.32,1223
4.55,1224
3.71,1225
3.23,1226
3.13,1227
3.61,1228
2.54,1229
3.51,1230
3.82,1231
1.71,1232
-0.91,1233
-3.09,1234
-2.39,1235
-2.26,1236
-2.92,1237
-2.8,1238
-3.05,1239
-2.0,1240
-1.06,1241
-1.56,1242
-0.21,1243
-0.5,1244
-1.07,1245
0.94,1246
1.26,1247
0.75,1248
0.57,1249
1.97,1250
1.76,1251
2.22,1252
2.11,1253
2.17,1254
2.54,1255
1.88,1256
2.78,1257
3.71,1258
3.67,1259
3.21,1260
1.5,1261
1.42,1262
1.19,1263
0.79,1264
2.27,1265
5.31,1266
5.66,1267
5.67,1268
6.39,1269
6.35,1270
6.74,1271
6.33,1272
7.67,1273
7.4,1274
6.32,1275
7.65,1276
6.95,1277
6.89,1278
7.01,1279
8.11,1280
8.31,1281
7.62,1282
7.19,1283
6.04,1284
6.86,1285
7.42,1286
8.53,1287
8.42,1288
8.75,1289
8.39,1290
7.88,1291
6.34,1292
7.31,1293
5.52,1294
4.91,1295
5.12,1296
4.95,1297
4.82,1298
2.19,1299
3.09,1300
2.78,1301
1.83,1302
1.25,1303
1.61,1304
2.39,1305
2.0,1306
3.03,1307
2.21,1308
1.28,1309
2.68,1310
2.71,1311
2.55,1312
1.97,1313
2.16,1314
1.33,1315
0.14,1316
0.55,1317
1.97,1318
1.4,1319
0.27,1320
-0.04,1321
2.03,1322
1.77,1323
0.9,1324
1.19,1325
0.8,1326
0.38,1327
0.05,1328
0.81,1329
1.88,1330
0.98,1331
0.28,1332
1.63,1333
2.94,1334
3.54,1335
3.9,1336
5.13,1337
5.44,1338
6.23,1339
5.0,1340
4.88,1341
4.64,1342
4.49,1343
5.68,1344
4.01,1345
3.65,1346
2.07,1347
2.78,1348
1.06,1349
-0.23,1350
0.86,1351
-0.7,1352
-0.69,1353
-1.44,1354
-0.97,1355
-1.64,1356
-1.34,1357
0.32,1358
0.04,1359
0.84,1360
1.42,1361
-0.24,1362
1.21,1363
-0.27,1364
-0.84,1365
-1.35,1366
-0.72,1367
-0.49,1368
0.13,1369
-0.73,1370
-0.72,1371
-2.85,1372
-0.97,1373
-0.81,1374
0.29,1375
44.96,1376
0.77,1377
1.11,1378
1.47,1379
1.76,1380
0.5,1381
-0.42,1382
-2.74,1383
-2.83,1384
-4.31,1385
-4.27,1386
-3.59,1387
-3.55,1388
-2.73,1389
-4.78,1390
-5.71,1391
-6.97,1392
-7.04,1393
-7.51,1394
-9.06,1395
-9.29,1396
-8.27,1397
-7.62,1398
-6.84,1399
-8.4,1400
-9.11,1401
-10.26,1402
-11.27,1403
-11.59,1404
-11.73,1405
-10.95,1406
-10.07,1407
-10.01,1408
-10.6,1409
-9.22,1410
-9.23,1411
-9.61,1412
-10.42,1413
-10.09,1414
-10.37,1415
-9.21,1416
-8.72,1417
-8.46,1418
-6.19,1419
-6.64,1420
-7.25,1421
-8.42,1422
-10.27,1423
-9.59,1424
-8.74,1425
-8.43,1426
-7.42,1427
-6.53,1428
-7.09,1429
-7.46,1430
-8.37,1431
-7.36,1432
-7.65,1433
-9.39,1434
-8.22,1435
-7.54,1436
-7.21,1437
-5.98,1438
-4.92,1439
-5.25,1440
-5.96,1441
-6.78,1442
-4.29,1443
-2.62,1444
-2.8,1445
-1.93,1446
-2.21,1447
-3.05,1448
-3.72,1449
-3.0,1450
-1.74,1451
-1.76,1452
-3.01,1453
-2.85,1454
-3.24,1455
-1.67,1456
-2.54,1457
-1.32,1458
-0.08,1459
0.64,1460
0.34,1461
0.61,1462
0.99,1463
-1.55,1464
-1.74,1465
-0.87,1466
-0.27,1467
0.22,1468
-0.41,1469
-0.26,1470
0.14,1471
-0.14,1472
0.89,1473
0.47,1474
0.56,1475
1.35,1476
0.74,1477
0.63,1478
-0.29,1479
1.8,1480
0.88,1481
-0.51,1482
-0.49,1483
-1.5,1484
-1.49,1485
-2.0,1486
-2.67,1487
-2.22,1488
-2.29,1489
-1.67,1490
-0.68,1491
-2.09,1492
-2.67,1493
-2.75,1494
-2.26,1495
-3.14,1496
-3.75,1497
-5.24,1498
-6.11,1499
-5.76,1500
-5.72,1501
-7.93,1502
-7.89,1503
-8.59,1504
-8.62,1505
-9.21,1506
-8.49,1507
-7.58,1508
-8.63,1509
-9.42,1510
-10.91,1511
-11.22,1512
-11.56,1513
-11.04,1514
-9.93,1515
-12.67,1516
-12.46,1517
-13.61,1518
-13.1,1519
-13.9,1520
-12.27,1521
-11.93,1522
-10.38,1523
-8.12,1524
-7.55,1525
-6.44,1526
-5.18,1527
-3.43,1528
-2.54,1529
-3.46,1530
-3.46,1531
-2.7,1532
-0.67,1533
0.72,1534
0.97,1535
-1.19,1536
-0.02,1537
-0.01,1538
-1.29,1539
-1.35,1540
-2.71,1541
-3.07,1542
-2.97,1543
-3.31,1544
-2.57,1545
-4.36,1546
-5.0,1547
-5.13,1548
-5.02,1549
-4.66,1550
-5.2,1551
-6.12,1552
-7.16,1553
-9.04,1554
-9.53,1555
-10.13,1556
-10.2,1557
-9.3,1558
-9.47,1559
-8.7,1560
-8.07,1561
-8.91,1562
-9.21,1563
-8.62,1564
-7.7,1565
-7.94,1566
-8.36,1567
-7.75,1568
-8.85,1569
-9.98,1570
-9.25,1571
-9.43,1572
-9.86,1573
-11.4,1574
-11.66,1575
-11.62,1576
-11.31,1577
-12.15,1578
-13.12,1579
-12.18,1580
-11.51,1581
-10.44,1582
-10.35,1583
-10.69,1584
-9.18,1585
-11.77,1586
-11.54,1587
-11.88,1588
-12.48,1589
-12.5,1590
-13.59,1591
-12.68,1592
-11.06,1593
-11.88,1594
-11.13,1595
-11.22,1596
-9.92,1597
-10.61,1598
-11.12,1599
-11.41,1600
-12.61,1601
-13.42,1602
-13.29,1603
-12.31,1604
-13.2,1605
-14.13,1606
-14.22,1607
-12.23,1608
-12.2,1609
-13.83,1610
-12.89,1611
-12.04,1612
-10.77,1613
-10.35,1614
-9.08,1615
-10.51,1616
-11.15,1617
-11.19,1618
-11.58,1619
-13.35,1620
-13.56,1621
-13.04,1622
-12.59,1623
-13.19,1624
-12.13,1625
-13.17,1626
-12.27,1627
-12.38,1628
-11.37,1629
-12.6,1630
-84.52,1631
-14.05,1632
-14.79,1633
-14.52,1634
-14.03,1635
-13.71,1636
-13.59,1637
-12.4,1638
-12.42,1639
-12.45,1640
-12.73,1641
-11.31,1642
-12.35,1643
-11.73,1644
-10.19,1645
-10.12,1646
-9.24,1647
-9.49,1648
-8.75,1649
-8.52,1650
-8.25,1651
-7.69,1652
-7.62,1653
-8.28,1654
-7.22,1655
-7.2,1656
-7.04,1657
-6.9,1658
-5.59,1659
-5.8,1660
-6.06,1661
-5.97,1662
-5.36,1663
-5.92,1664
-6.38,1665
-7.51,1666
-7.08,1667
-5.72,1668
-5.1,1669
-5.26,1670
-4.55,1671
-5.58,1672
-5.05,1673
-4.65,1674
-3.44,1675
-2.58,1676
-1.95,1677
-3.91,1678
-3.81,1679
-4.14,1680
-3.68,1681
-2.84,1682
-3.62,1683
-3.88,1684
-3.26,1685
-3.64,1686
-5.46,1687
-6.37,1688
-6.57,1689
-5.23,1690
-3.71,1691
-4.57,1692
-4.33,1693
-3.41,1694
-3.88,1695
-3.72,1696
-3.43,1697
-2.1,1698
-3.01,1699
-4.59,1700
-4.5,1701
-4.62,1702
-3.39,1703
-4.79,1704
-6.46,1705
-5.74,1706
-5.91,1707
-7.03,1708
-6.36,1709
-7.24,1710
-6.94,1711
-6.24,1712
-6.06,1713
-5.15,1714
-5.16,1715
-5.15,1716
-3.92,1717
-3.77,1718
-2.69,1719
-2.72,1720
-3.51,1721
-2.73,1722
-4.62,1723
-3.29,1724
-2.53,1725
-2.56,1726
-2.92,1727
-5.12,1728
-6.05,1729
-5.39,1730
-6.7,1731
-8.13,1732
-8.03,1733
-8.0,1734
-9.0,1735
-10.05,1736
-10.25,1737
-11.79,1738
-11.74,1739
-12.04,1740
-11.41,1741
-13.38,1742
-13.57,1743
-12.54,1744
-13.29,1745
-13.16,1746
-13.3,1747
-13.43,1748
-11.91,1749
-12.8,1750
-13.17,1751
-15.29,1752
-14.57,1753
-14.18,1754
-13.83,1755
-13.49,1756
-13.97,1757
-13.24,1758
-12.41,1759
-10.79,1760
-12.33,1761
-12.81,1762
-11.48,1763
-12.21,1764
-12.68,1765
-12.84,1766
-11.18,1767
-11.6,1768
-13.26,1769
-13.65,1770
-12.77,1771
-13.44,1772
-14.82,1773
-13.91,1774
-14.7,1775
-13.53,1776
-12.75,1777
-13.98,1778
-13.34,1779
-13.54,1780
-12.3,1781
-13.27,1782
-12.3,1783
-12.55,1784
-13.77,1785
-14.75,1786
-14.58,1787
-14.49,1788
-13.68,1789
-16.08,1790
-14.92,1791
-13.99,1792
-14.0,1793
-13.34,1794
-13.57,1795
-11.38,1796
-11.28,1797
-11.1,1798
-11.28,1799
-11.35,1800
-12.44,1801
-11.45,1802
-10.19,1803
-10.14,1804
-9.58,1805
-11.09,1806
-10.46,1807
-9.35,1808
-10.85,1809
-11.78,1810
-10.64,1811
-11.16,1812
-10.04,1813
-10.61,1814
-10.83,1815
-10.39,1816
-8.76,1817
-8.36,1818
-7.63,1819
-8.65,1820
-8.51,1821
-9.79,1822
-12.07,1823
-12.92,1824
-11.35,1825
-10.73,1826
-11.27,1827
-10.16,1828
-10.62,1829
-10.62,1830
-10.48,1831
-9.11,1832
-10.32,1833
-10.41,1834
-10.92,1835
-9.55,1836
-10.7,1837
-10.95,1838
-11.59,1839
-12.66,1840
-14.2,1841
-14.18,1842
-13.94,1843
-14.83,1844
-14.07,1845
-14.11,1846
-14.98,1847
-15.37,1848
-15.53,1849
-14.59,1850
-14.9,1851
-14.92,1852
-13.51,1853
-12.42,1854
-11.68,1855
-12.01,1856
-12.94,1857
-12.78,1858
-13.62,1859
-14.88,1860
-15.45,1861
-15.33,1862
-15.59,1863
-16.25,1864
-14.8,1865
-15.54,1866
-15.92,1867
-16.11,1868
-15.57,1869
-15.92,1870
-15.33,1871
-15.4,1872
-13.86,1873
-12.6,1874
-13.59,1875
-14.45,1876
-13.59,1877
-14.06,1878
-13.73,1879
-12.14,1880
-13.59,1881
-12.51,1882
-13.09,1883
-13.31,1884
-13.41,1885
-12.51,1886
-10.79,1887
-10.6,1888
-9.87,1889
-9.35,1890
-9.67,1891
-9.01,1892
-7.98,1893
-8.88,1894
-9.59,1895
-9.85,1896
-10.58,1897
-9.84,1898
-8.4,1899
-7.26,1900
-6.96,1901
-8.01,1902
-7.48,1903
-6.02,1904
-6.64,1905
-7.22,1906
-6.52,1907
-4.96,1908
-5.18,1909
-2.85,1910
-2.88,1911
-4.04,1912
-4.67,1913
-4.37,1914
-3.24,1915
-2.42,1916
-2.04,1917
-2.19,1918
-2.07,1919
-1.29,1920
-3.16,1921
-2.38,1922
-3.74,1923
-3.96,1924
-3.69,1925
-4.11,1926
-4.42,1927
-3.6,1928
-2.93,1929
-2.32,1930
-2.32,1931
-2.33,1932
-2.66,1933
-3.32,1934
-2.65,1935
-3.52,1936
-3.58,1937
-3.14,1938
-3.06,1939
-3.94,1940
-3.79,1941
-4.57,1942
-5.03,1943
-5.0,1944
-3.6,1945
-2.45,1946
-2.52,1947
-3.85,1948
-3.53,1949
-3.53,1950
-3.32,1951
-4.51,1952
-4.75,1953
-4.72,1954
-5.32,1955
-5.98,1956
-6.47,1957
-6.28,1958
-6.68,1959
-5.33,1960
-8.49,1961
-10.18,1962
-10.19,1963
-11.72,1964
-10.8,1965
-10.81,1966
-11.73,1967
-12.49,1968
-12.68,1969
-12.57,1970
-10.54,1971
-8.99,1972
-9.86,1973
-10.15,1974
-9.44,1975
-7.87,1976
-8.32,1977
-8.22,1978
-10.31,1979
-10.96,1980
-10.46,1981
-11.4,1982
-12.27,1983
-14.01,1984
-15.04,1985
-14.44,1986
-13.57,1987
-14.3,1988
-14.23,1989
-13.62,1990
